1週間の標準時数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,国,社,数,理,音,美,保,技,家,英,道,学,総,,自立,日生,生単,作業,,,,,,,,,,,,
1年1組,4,3,4,3,1.3,1.3,3,1,1,4,1,1,1.5,,0,0,0,0,,,,,,,,,,,,
1年2組,4,3,4,3,1.3,1.3,3,1,1,4,1,1,1.5,,0,0,0,0,,,,,,,,,,,,
1年3組,4,3,4,3,1.3,1.3,3,1,1,4,1,1,1.5,,0,0,0,0,,,,,,,,,,,,
1年5組,4,1,4,3,1,1,2,1,1,2,1,1,1.5,,2.6,1,1,1,,,,,,,,,,,,
1年6組,4,3,3,2,1.3,1.3,3,1,1,3,1,1,1.5,,2,0,0,0,,,,,,,,,,,,
1年7組,4,3,3,2,1.3,1.3,3,1,1,3,1,1,1.5,,2,0,0,0,,,,,,,,,,,,
2年1組,4,3,3,4,1,1,3,1,1,4,1,1,2,,0,0,0,0,,,,,,,,,,,,
2年2組,4,3,3,4,1,1,3,1,1,4,1,1,2,,0,0,0,0,,,,,,,,,,,,
2年3組,4,3,3,4,1,1,3,1,1,4,1,1,2,,0,0,0,0,,,,,,,,,,,,
2年5組,4,1,4,3,1,1,2,1,1,2,1,1,1.5,,2.6,1,1,1,,,,,,,,,,,,
2年6組,4,3,2,4,1,1,3,1,1,3,1,1,2,,2,0,0,0,,,,,,,,,,,,
2年7組,4,3,2,4,1,1,3,1,1,3,1,1,2,,2,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3年1組,3,4,4,4,1,1,3,0.5,0.5,4,1,1,2,,0,0,0,0,,,,,,,,,,,,
3年2組,3,4,4,4,1,1,3,0.5,0.5,4,1,1,2,,0,0,0,0,,,,,,,,,,,,
3年3組,3,4,4,4,1,1,3,0.5,0.5,4,1,1,2,,0,0,0,0,,,,,,,,,,,,
3年5組,4,1,4,3,1,1,2,1,1,2,1,1,1.5,,2.6,1,1,1,,,,,,,,,,,,
3年6組,3,4,3,3,1,1,3,0.5,0.5,3,1,1,2,,2,0,0,0,,,,,,,,,,,,
3年7組,3,4,3,3,1,1,3,0.5,0.5,3,1,1,2,,2,0,0,0,,,,,,,,,,,,