基本時間割,月,月,月,月,月,月,火,火,火,火,火,火,水,水,水,水,水,水,木,木,木,木,木,木,金,金,金,金,金,金
,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6
1年1組,英,保,技,国,数,欠,社,音,国,数,家,欠,理,数,社,保,国,欠,数,技,国,道,英,YT,英,美,保,総,社,欠
1年2組,英,保,技,社,音,欠,社,音,国,家,英,欠,理,数,国,音,英,欠,国,英,理,道,数,YT,数,保,美,総,社,欠
1年3組,英,保,技,家,数,欠,社,音,国,理,数,欠,理,数,英,国,音,欠,保,社,英,道,国,YT,美,数,音,総,英,欠
1年5組,日生,国,数,社,英,欠,自立,理,数,英,技,欠,自立,数,理,,美,欠,作業,国,音,道,保,YT,自立,理,国,総,家,欠
1年6組,英,保,技,国,自立,欠,社,音,国,数,家,欠,理,数,社,保,国,欠,数,技,国,道,英,YT,英,美,保,総,社,欠
1年7組,英,保,技,社,音,欠,社,音,国,家,自立,欠,理,数,美,音,英,欠,国,英,理,道,数,YT,数,保,美,総,社,欠
2年1組,数,技家,社,保,理,欠,国,保,理,音,数,欠,英,音,国,技,保,欠,理,国,美,道,英,YT,保,社,英,総,国,欠
2年2組,数,技家,社,音,英,欠,国,保,理,技,,欠,英,音,保,理,数,欠,英,美,保,道,数,YT,数,英,国,総,理,欠
2年3組,数,技家,社,技,保,欠,国,保,理,英,音,欠,英,音,数,理,社,欠,美,理,英,道,国,YT,英,家,社,総,理,欠
2年5組,日生,国,数,社,英,欠,自立,理,数,英,技,欠,自立,数,理,,美,欠,作業,国,音,道,保,YT,自立,理,国,総,家,欠
2年6組,数,技家,社,技,保,欠,国,保,理,英,音,欠,英,音,数,理,社,欠,美,理,英,道,国,YT,英,家,社,総,理,欠
2年7組,数,技家,社,音,自立,欠,国,保,理,技,,欠,英,音,保,理,数,欠,英,美,保,道,数,YT,数,英,国,総,理,欠
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3年1組,国,音,理,英,数,社,数,英,技,保,理,YT,保,社,美,英,学総,,理,国,道,保,社,YT,音,数,英,総,理,欠
3年2組,国,音,理,数,社,,数,英,技,理,社,YT,保,社,英,家,学総,,数,英,道,美,技,YT,数,英,社,総,国,欠
3年3組,国,音,理,,社,,数,英,技,社,理,YT,保,社,技,美,学総,,社,保,道,数,英,YT,英,国,数,総,保,欠
3年5組,日生,国,数,社,英,欠,自立,理,数,英,技,欠,自立,数,理,,美,,作業,国,音,道,保,YT,自立,理,国,総,家,欠
3年6組,国,音,理,,,,数,英,技,社,,YT,保,社,技,美,学総,,社,保,道,数,英,YT,英,国,数,総,保,欠
3年7組,国,音,理,数,社,,数,英,技,理,社,YT,保,社,英,,学総,,数,英,道,美,技,YT,数,英,社,総,国,欠